Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jake Funk,LAR,9.6,49.9,0.4,3,21.7,0.1,0.1,10.2
Larry Rountree III,LAC,12.4,52.1,0.5,2.3,17.2,0.1,0.1,9.9
Justice Hill,BAL,11,45.8,0.4,3.4,22.3,0.1,0,9.9
Trenton Cannon,TEN,10.4,21,0.1,5.9,51.5,0.3,0,9.8
Keith Smith,ATL,8.1,24.1,0.2,6.9,44.9,0.3,0.1,9.5
Antonio Williams,NYG,11.2,53.9,0.4,1.8,14.2,0,0,9.3
Ty Chandler,MIN,16,60.7,0.1,4,26.5,0,0,9.1
Royce Freeman,HOU,8.7,35.4,0.2,4.3,27.8,0.2,0,8.4
Michael Burton,KC,5.8,30.6,0.3,3.4,20.6,0.2,0,8
Alec Ingold,MIA,4.3,14.1,0.1,5.3,41.1,0.3,0,7.9
Andrew Beck,DEN,4.7,18.8,0.2,4.4,33,0.2,0,7.2
Jakob Johnson,LV,4,16.5,0.2,4.4,32.7,0.3,0.1,7.2
Giovanni Ricci,CAR,4.5,18.1,0.1,4.1,31.2,0.2,0,6.8
Ty Johnson,NYJ,5.4,22.4,0.1,3.8,29.6,0.2,0.1,6.7
Julius Chestnut,TEN,4.5,19,0.1,3.8,27.9,0.2,0,6.3
Deon Jackson,IND,8.4,36,0.3,1,7.1,0,0.1,6.3
Jaret Patterson,WAS,6,24.7,0.2,2.6,19,0.1,0.1,5.9
Khari Blasingame,CHI,2.4,10.1,0.1,4.3,30.3,0.2,0,5.8
Derek Watt,PIT,2.2,8.7,0.1,4.4,32.6,0.2,0,5.6
Jason Cabinda,DET,3,9.9,0.1,4.5,29.4,0.2,0,5.6
Kevin Harris,NE,8.2,34.3,0.3,0,0,0,0,5.3
Johnny Stanton IV,CLE,2.2,9.3,0.1,3.9,27.5,0.2,0,5.2
Adam Prentice,NO,4.4,18.9,0.1,2,14.7,0.1,0,5
Reggie Gilliam,BUF,0,0,0,4.4,32.5,0.2,0,4.6
Nick Bawden,NYJ,0,0,0,4.3,31.5,0.2,0,4.4
Trayveon Williams,CIN,2.9,11.9,0.1,2.8,19.3,0.1,0,4.1
Mekhi Sargent,JAC,2.2,8.9,0.1,2.1,15.9,0.1,0,3.5
Godwin Igwebuike,DET,2.2,9.1,0.1,2,15.2,0.1,0,3.5
Gabe Nabers,LAC,4.4,18.9,0.2,0,0,0,0,2.9
John Lovett,MIA,0,0,0,0,0,0,0,0
Spencer Brown,BUF,0,0,0,0,0,0,0,0
John Kelly Jr.,CLE,0,0,0,0,0,0,0,0
Taiwan Jones,BUF,0,0,0,0,0,0,0,0
Nate McCrary,BAL,0,0,0,0,0,0,0,0
Salvon Ahmed,MIA,0,0,0,0,0,0,0,0
Malik Davis,DAL,0,0,0,0,0,0,0,0
Jonathan Williams,WAS,0,0,0,0,0,0,0,0
Reggie Bonnafon,WAS,0,0,0,0,0,0,0,0
Damarea Crockett,DEN,0,0,0,0,0,0,0,0
